ts,action,scenario,url,method,status_code,latency_ms,category,error_type,note
2026-01-26 20:46:25,register,late,http://127.0.0.1:5000/register,POST,200,3,expected_pass,,
2026-01-26 20:46:25,cancel,cancel_nonexist,http://127.0.0.1:5000/cancel,POST,404,4,expected_fail,,掛號不存在
2026-01-26 20:46:25,register,late,http://127.0.0.1:5000/register,POST,200,5,expected_pass,,
2026-01-26 20:46:25,cancel,cancel_nonexist,http://127.0.0.1:5000/cancel,POST,404,6,expected_fail,,掛號不存在
2026-01-26 20:46:25,query,late,http://127.0.0.1:5000/query,GET,200,4,expected_pass,,
2026-01-26 20:46:25,query,late,http://127.0.0.1:5000/query,GET,200,4,expected_pass,,
2026-01-26 20:46:25,register,invalid_date,http://127.0.0.1:5000/register,POST,400,5,expected_fail,,掛號日期錯誤
2026-01-26 20:46:25,register,late,http://127.0.0.1:5000/register,POST,200,6,expected_pass,,
2026-01-26 20:46:25,cancel,cancel_nonexist,http://127.0.0.1:5000/cancel,POST,404,11,expected_fail,,掛號不存在
2026-01-26 20:46:25,register,missing_required,http://127.0.0.1:5000/register,POST,400,13,expected_fail,,缺少必填欄位
2026-01-26 20:46:25,query,invalid_date,http://127.0.0.1:5000/query,GET,404,4,expected_fail,,查無資料
2026-01-26 20:46:25,register,invalid_id,http://127.0.0.1:5000/register,POST,400,7,expected_fail,,身分證格式錯誤
2026-01-26 20:46:25,register,invalid_date,http://127.0.0.1:5000/register,POST,400,10,expected_fail,,掛號日期錯誤
2026-01-26 20:46:25,query,late,http://127.0.0.1:5000/query,GET,200,6,expected_pass,,
2026-01-26 20:46:25,register,late,http://127.0.0.1:5000/register,POST,200,6,expected_pass,,
2026-01-26 20:46:25,register,invalid_date,http://127.0.0.1:5000/register,POST,400,13,expected_fail,,掛號日期錯誤
2026-01-26 20:46:25,register,missing_required,http://127.0.0.1:5000/register,POST,400,13,expected_fail,,缺少必填欄位
2026-01-26 20:46:25,query,invalid_id,http://127.0.0.1:5000/query,GET,404,7,expected_fail,,查無資料
2026-01-26 20:46:25,register,invalid_id,http://127.0.0.1:5000/register,POST,400,11,expected_fail,,身分證格式錯誤
2026-01-26 20:46:25,register,duplicate_setup,http://127.0.0.1:5000/register,POST,200,9,expected_pass,,
2026-01-26 20:46:25,register,missing_required,http://127.0.0.1:5000/register,POST,400,11,expected_fail,,缺少必填欄位
2026-01-26 20:46:25,query,missing_required,http://127.0.0.1:5000/query,GET,404,13,expected_fail,,查無資料
2026-01-26 20:46:25,query,invalid_date,http://127.0.0.1:5000/query,GET,404,10,expected_fail,,查無資料
2026-01-26 20:46:25,register,normal,http://127.0.0.1:5000/register,POST,200,20,expected_pass,,
2026-01-26 20:46:25,register,late,http://127.0.0.1:5000/register,POST,200,11,expected_pass,,
2026-01-26 20:46:25,query,invalid_date,http://127.0.0.1:5000/query,GET,404,11,expected_fail,,查無資料
2026-01-26 20:46:25,query,missing_required,http://127.0.0.1:5000/query,GET,404,11,expected_fail,,查無資料
2026-01-26 20:46:25,register,duplicate_setup,http://127.0.0.1:5000/register,POST,200,16,expected_pass,,
2026-01-26 20:46:25,cancel,cancel_nonexist,http://127.0.0.1:5000/cancel,POST,404,15,expected_fail,,掛號不存在
2026-01-26 20:46:25,register,duplicate_setup,http://127.0.0.1:5000/register,POST,200,15,expected_pass,,
2026-01-26 20:46:25,query,normal,http://127.0.0.1:5000/query,GET,200,9,expected_pass,,
2026-01-26 20:46:25,register,duplicate_setup,http://127.0.0.1:5000/register,POST,200,15,expected_pass,,
2026-01-26 20:46:25,register,invalid_date,http://127.0.0.1:5000/register,POST,400,17,expected_fail,,掛號日期錯誤
2026-01-26 20:46:25,query,missing_required,http://127.0.0.1:5000/query,GET,404,17,expected_fail,,查無資料
2026-01-26 20:46:25,register,missing_required,http://127.0.0.1:5000/register,POST,400,17,expected_fail,,缺少必填欄位
2026-01-26 20:46:25,register,duplicate_setup,http://127.0.0.1:5000/register,POST,400,20,unexpected_fail,,[EXPECT=expected_pass] 已掛號
2026-01-26 20:46:25,register,duplicate_setup,http://127.0.0.1:5000/register,POST,200,20,expected_pass,,
2026-01-26 20:46:25,query,invalid_id,http://127.0.0.1:5000/query,GET,404,21,expected_fail,,查無資料
2026-01-26 20:46:25,register,missing_required,http://127.0.0.1:5000/register,POST,400,15,expected_fail,,缺少必填欄位
2026-01-26 20:46:25,register,normal,http://127.0.0.1:5000/register,POST,500,16,infra_error,,infra_error
2026-01-26 20:46:25,register,missing_required,http://127.0.0.1:5000/register,POST,400,13,expected_fail,,缺少必填欄位
2026-01-26 20:46:25,register,normal,http://127.0.0.1:5000/register,POST,200,16,expected_pass,,
2026-01-26 20:46:25,query,late,http://127.0.0.1:5000/query,GET,200,29,expected_pass,,
2026-01-26 20:46:25,register,duplicate,http://127.0.0.1:5000/register,POST,400,15,expected_fail,,已掛號
2026-01-26 20:46:25,query,late,http://127.0.0.1:5000/query,GET,200,21,expected_pass,,
2026-01-26 20:46:25,register,missing_required,http://127.0.0.1:5000/register,POST,400,18,expected_fail,,缺少必填欄位
2026-01-26 20:46:25,register,invalid_id,http://127.0.0.1:5000/register,POST,400,19,expected_fail,,身分證格式錯誤
2026-01-26 20:46:25,register,invalid_date,http://127.0.0.1:5000/register,POST,400,14,expected_fail,,掛號日期錯誤
2026-01-26 20:46:25,register,duplicate,http://127.0.0.1:5000/register,POST,400,17,expected_fail,,已掛號
2026-01-26 20:46:25,register,duplicate_setup,http://127.0.0.1:5000/register,POST,200,16,expected_pass,,
2026-01-26 20:46:25,register,missing_required,http://127.0.0.1:5000/register,POST,400,23,expected_fail,,缺少必填欄位
2026-01-26 20:46:25,query,invalid_date,http://127.0.0.1:5000/query,GET,404,15,expected_fail,,查無資料
2026-01-26 20:46:25,register,late,http://127.0.0.1:5000/register,POST,200,20,expected_pass,,
2026-01-26 20:46:25,query,missing_required,http://127.0.0.1:5000/query,GET,404,16,expected_fail,,查無資料
2026-01-26 20:46:25,register,duplicate,http://127.0.0.1:5000/register,POST,400,17,expected_fail,,已掛號
2026-01-26 20:46:25,register,invalid_id,http://127.0.0.1:5000/register,POST,400,15,expected_fail,,身分證格式錯誤
2026-01-26 20:46:25,register,invalid_date,http://127.0.0.1:5000/register,POST,400,23,expected_fail,,掛號日期錯誤
2026-01-26 20:46:25,register,normal,http://127.0.0.1:5000/register,POST,200,22,expected_pass,,
2026-01-26 20:46:25,query,normal,http://127.0.0.1:5000/query,GET,200,17,expected_pass,,
2026-01-26 20:46:25,query,missing_required,http://127.0.0.1:5000/query,GET,404,23,expected_fail,,查無資料
2026-01-26 20:46:25,register,duplicate,http://127.0.0.1:5000/register,POST,400,28,expected_fail,,已掛號
2026-01-26 20:46:25,query,missing_required,http://127.0.0.1:5000/query,GET,404,17,expected_fail,,查無資料
2026-01-26 20:46:25,register,invalid_id,http://127.0.0.1:5000/register,POST,400,20,expected_fail,,身分證格式錯誤
2026-01-26 20:46:25,query,missing_required,http://127.0.0.1:5000/query,GET,404,23,expected_fail,,查無資料
2026-01-26 20:46:25,register,invalid_date,http://127.0.0.1:5000/register,POST,400,24,expected_fail,,掛號日期錯誤
2026-01-26 20:46:25,query,invalid_date,http://127.0.0.1:5000/query,GET,404,17,expected_fail,,查無資料
2026-01-26 20:46:25,register,normal,http://127.0.0.1:5000/register,POST,200,24,expected_pass,,
2026-01-26 20:46:25,register,missing_required,http://127.0.0.1:5000/register,POST,400,17,expected_fail,,缺少必填欄位
2026-01-26 20:46:25,register,normal,http://127.0.0.1:5000/register,POST,200,28,expected_pass,,
2026-01-26 20:46:25,register,invalid_date,http://127.0.0.1:5000/register,POST,400,22,expected_fail,,掛號日期錯誤
2026-01-26 20:46:25,query,invalid_id,http://127.0.0.1:5000/query,GET,404,22,expected_fail,,查無資料
2026-01-26 20:46:25,query,missing_required,http://127.0.0.1:5000/query,GET,404,23,expected_fail,,查無資料
2026-01-26 20:46:25,register,duplicate,http://127.0.0.1:5000/register,POST,400,25,expected_fail,,已掛號
2026-01-26 20:46:25,query,late,http://127.0.0.1:5000/query,GET,200,21,expected_pass,,
2026-01-26 20:46:25,register,normal,http://127.0.0.1:5000/register,POST,200,24,expected_pass,,
2026-01-26 20:46:25,register,late,http://127.0.0.1:5000/register,POST,200,29,expected_pass,,
2026-01-26 20:46:25,register,normal,http://127.0.0.1:5000/register,POST,200,24,expected_pass,,
2026-01-26 20:46:25,query,invalid_id,http://127.0.0.1:5000/query,GET,404,23,expected_fail,,查無資料
2026-01-26 20:46:25,cancel,cancel_nonexist,http://127.0.0.1:5000/cancel,POST,404,25,expected_fail,,掛號不存在
2026-01-26 20:46:25,register,missing_required,http://127.0.0.1:5000/register,POST,400,23,expected_fail,,缺少必填欄位
2026-01-26 20:46:25,query,invalid_id,http://127.0.0.1:5000/query,GET,404,18,expected_fail,,查無資料
2026-01-26 20:46:25,query,invalid_date,http://127.0.0.1:5000/query,GET,404,25,expected_fail,,查無資料
2026-01-26 20:46:25,register,late,http://127.0.0.1:5000/register,POST,200,25,expected_pass,,
2026-01-26 20:46:25,query,invalid_date,http://127.0.0.1:5000/query,GET,404,19,expected_fail,,查無資料
2026-01-26 20:46:25,register,invalid_date,http://127.0.0.1:5000/register,POST,400,24,expected_fail,,掛號日期錯誤
2026-01-26 20:46:25,register,invalid_date,http://127.0.0.1:5000/register,POST,400,18,expected_fail,,掛號日期錯誤
2026-01-26 20:46:25,register,invalid_date,http://127.0.0.1:5000/register,POST,400,29,expected_fail,,掛號日期錯誤
2026-01-26 20:46:25,register,invalid_id,http://127.0.0.1:5000/register,POST,400,33,expected_fail,,身分證格式錯誤
2026-01-26 20:46:25,query,missing_required,http://127.0.0.1:5000/query,GET,404,23,expected_fail,,查無資料
2026-01-26 20:46:25,query,normal,http://127.0.0.1:5000/query,GET,200,24,expected_pass,,
2026-01-26 20:46:25,register,normal,http://127.0.0.1:5000/register,POST,200,25,expected_pass,,
2026-01-26 20:46:25,register,invalid_date,http://127.0.0.1:5000/register,POST,400,25,expected_fail,,掛號日期錯誤
2026-01-26 20:46:25,register,normal,http://127.0.0.1:5000/register,POST,200,21,expected_pass,,
2026-01-26 20:46:25,register,normal,http://127.0.0.1:5000/register,POST,200,20,expected_pass,,
2026-01-26 20:46:25,register,normal,http://127.0.0.1:5000/register,POST,200,26,expected_pass,,
